Employee Name,Employee ID,Employee Email,Department,Expense Type,Amount,Date of Expense,Description,Receipt URL,Receipt Image,Status,Comments,Item Type,Path
Pranav,2086,pranav@gmail.com,Tech,Travel, ?480.00 ,15-05-2025,for train ticket charges,,,Approved,Approved,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
K.suvarna,,23A91A0431@aec.edu.in,Tech,Travel," ?25,000.00 ",26-06-2025,I went for meeting ceo of Google company ,,,Approved,Good,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Anil,1232,23a91a61g9@aec.edu.in,Sales,Office," ?5,423.00 ",28-05-2025,For health check up,,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Tony,1875,tony@gmail.com,Finance,Office, ?940.00 ,30-04-2025,for software subscriptions,,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Vansh,3264,vansh@gmail.com,HR,Travel, ?950.00 ,22-03-2025,for fuel costs,,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Marco,6538,23P31A4430@acet.ac.in,Sales,Meals," ?1,460.00 ",09-03-2025,for lunch with client,,,Rejected,NO PROPER DATA,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Abhi,1280,sanjanamedapati7@gmail.com,Tech,Others, ?980.00 ,03-05-2025,Nothing,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
maha,2314,23P31A4430@acet.ac.in,Finance,Office," ?2,313.00 ",26-06-2025,,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
,,,HR,Travel,,26-06-2025,,,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
neeraja,1234,23P31A4430@acet.ac.in,Finance,Office," ?2,342.00 ",26-06-2025,,,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Arav,3649,arav04@gmail.com,Sales,Office, ?690.00 ,11-12-2024,for printer costs,,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
maha,2314,23P31A4430@acet.ac.in,Tech,Office," ?2,313.00 ",26-06-2025,,,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Rahul,1783,23P31A4430@acet.ac.in,Finance,Meals, ?920.00 ,20-05-2025,,,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
neeraja,3456,23P31A4430@acet.ac.in,Tech,Meals," ?2,313.00 ",27-06-2025,,,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Vikshita,4921,neerajapalla0613@gmail.com,Sales,Office," ?1,340.00 ",17-01-2025,for material costs,,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
bhavani,2223,23P31A1223@acet.ac.in,Sales,Office," ?3,445.00 ",26-06-2025,,,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Andrew,6129,23P31A4430@acet.ac.in,Finance,Meals," ?1,180.00 ",23-05-2024,for meeting with client,,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Hailey,4920,hailey@gmail.com,Sales,Travel," ?1,340.00 ",17-10-2024,for train tickets,,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
vani,3456,23P31A1223@acet.ac.in,Tech,Meals, ?678.00 ,26-06-2025,,,,Rejected,Please re-submit with proofs.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Deepti,2038,deepti22@gmail.com,Tech,Meals, ?120.00 ,22-05-2025,for snacks,,,Approved,Approved. ,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Neetu ,23457,23A91A1205@aec.edu.in,Sales,Travel, ?420.00 ,,Travelled from rajamundry to Hyderabad in Sleeper class ,Hfiajcjaj,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Kesar,7451,kesar@gmail.com,Finance,Office, ?140.00 ,13-03-2025,for subscriptions,,,Rejected,please re-submit,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Snigdha,2047,23P31A4430@acet.ac.in,Sales,Others, ?550.00 ,11-04-2025,fnfkjenlk,,,Approved,Approved. ,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Sowdeepya,2096,neerajapalla0613@gmail.com,Tech,Travel, ?630.00 ,22-05-2025,for fuel,,,Rejected,Please re-submit,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Chandrika,,23P31A4430@acet.ac.in,admin,Others," ?1,00,000.00 ",21-04-2025,,,,Approved,Approved ,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
G.amrutha,23458,23p31a4220@acet.ac.in,Sales,Meals," ?5,000.00 ",27-06-2025,,,,Approved,Approved. ,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
